14-15	14-16	14-17	14-18	14-19	14-20	14-21	14-22	14-23	14-24
250.6541 	52.3120 	49.7870 	169.8787 	51.4058 	24.4704 	6.3571 	34.7683 	61.1204 	9.3368 
45.7950 	5.7551 	34.0708 	366.4857 	175.0729 	94.8505 	291.7568 	63.2020 	77.8211 	6.3078 
32.1801 	469.5939 	40.3554 	226.9811 	173.0940 	117.5145 	17.2064 	340.7602 	5.9083 	0.5589 
	121.6732 			10.1863 	176.8611 	68.6821 	45.8779 	8.4425 	54.7351 
	638.7071 			138.2147 	165.5011 	181.7809 	310.9487 	30.7906 	14.2961 
				4.0188 	181.7899 	58.3894 	116.6890 	264.9285 	29.2281 
				8.7528 	2.7256 	3.1043 	9.9238 	42.1035 	47.1617 
				253.3190 	116.6407 	309.8416 	264.5094 	7.0573 	59.3524 
				149.2559 	168.7224 	75.0875 	8.9896 	67.9655 	77.3856 
				96.0737 		116.7958 	32.5101 	12.2252 	138.9741 
						147.4752 	93.6832 	14.0165 	17.1339 
						892.4226 	19.2325 	83.5401 	29.9154 
						311.8404 	35.1932 	51.0505 	13.1281 
							26.6060 	2.4591 	28.7089 
							4.5707 	53.7917 	2.9505 
							452.6405 	106.8877 	
								517.6964 	
								32.8723 	
