10-25	15-25	20-25	25-25	30-25	35-25	40-25	45-25	50-25
0.0300 	0.0381 	0.1045 	0.2966 	0.7965 	109.0016 	49.3801 	77.2985 	20.7367 
0.0100 	0.0196 	0.1344 	0.1651 	0.3490 	2.6706 	36.1681 	1.5435 	19.1267 
0.0101 	0.0244 	0.0640 	0.3077 	0.1884 	2.1760 	3.5653 	29.5977 	153.4195 
0.0118 	0.0334 	0.0708 	0.1125 	7.6468 	18.8693 	4.4509 	114.6630 	31.4544 
0.0100 	0.0303 	0.0480 	0.3323 	0.7275 	1.3478 	1.0868 	47.6437 	59.4692 
0.0184 	0.0486 	0.1015 	0.1612 	0.1445 	10.0948 		62.4833 	4.5507 
0.0127 	0.0169 	0.0615 	0.1541 	0.6325 	2.5948 		74.0734 	2.7165 
0.0116 	0.0241 	0.0608 	1.8003 	0.5942 	3.6842 			
0.0101 	0.0221 	0.0628 	0.1330 	1.1103 	23.2028 			
0.0187 	0.0685 	0.0510 	0.5095 	0.2252 	2.0626 			
0.0101 	0.0577 	1.4035 	0.1387 	0.3196 	3.6437 			
0.0102 	0.0401 	0.0940 	0.1933 	0.4774 	2.0231 			
0.0098 	0.0312 	0.0598 	0.2672 	12.2989 	1.7332 			
0.0102 	0.0290 	0.0465 	0.3293 	0.2953 	44.9409 			
0.0101 	0.0260 	0.0920 	0.1245 	0.2482 				
0.0123 	0.0281 	0.0810 	0.1015 	4.4876 				
0.0101 	0.0411 	0.0623 	0.3266 	3.0862 				
0.0189 	0.0289 	0.5261 	0.1486 	0.9415 				
0.0120 	0.0495 	0.0713 	0.2578 	19.5289 				
0.0114 	0.0229 	0.1148 	0.1005 					
				
